,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
83773,1.4.4,4,True,True,FAST_SEAM,34.314,1,1,1,,0.474,8.746,-0.389,1.014,34.0,32.0
83777,1.5.1,1,True,False,FAST_SEAM,33.79,0,0,0,,0.083,7.445,-0.37,0.791,33.0,27.0
83778,1.5.2,2,True,False,FAST_SEAM,37.313,0,0,0,,0.116,6.25,-0.357,0.623,41.0,59.0
83779,1.5.3,3,True,False,FAST_SEAM,36.821,4,4,4,,-0.329,7.851,0.344,0.827,56.0,5.0
83780,1.5.4,4,True,False,FAST_SEAM,37.496,1,1,1,,-0.077,6.41,-0.082,0.673,44.0,62.0
83782,1.5.6,6,True,False,FAST_SEAM,36.475,4,4,4,,0.082,5.623,-0.365,0.657,20.0,79.0
84552,2.1.2,2,True,True,OFF_SPIN,26.063,0,0,0,,-0.049,6.82,-0.319,0.773,41.0,57.0
84553,2.1.3,3,True,True,OFF_SPIN,26.288,1,1,1,,0.026,4.695,-0.239,0.667,72.0,74.0
84555,2.1.5,5,True,True,OFF_SPIN,25.22,0,0,0,,-0.026,6.662,-0.236,0.861,66.0,39.0
84556,2.1.6,6,True,True,OFF_SPIN,28.268,0,0,0,,-0.154,4.728,-0.122,0.601,65.0,43.0
84560,2.2.4,4,True,True,MEDIUM_SEAM,38.4,4,4,4,,0.653,10.333,-1.356,1.148,14.0,17.0
84561,2.2.5,5,True,True,MEDIUM_SEAM,39.501,4,4,4,,-0.02,5.957,0.153,0.614,56.0,6.0
84562,2.2.6,6,True,True,MEDIUM_SEAM,39.013,2,2,2,,0.272,6.372,-0.299,0.651,56.0,80.0
84570,2.4.2,2,True,False,MEDIUM_SEAM,32.914,1,1,1,,-0.082,8.753,-0.711,0.851,14.0,42.0
84572,2.4.4,4,True,False,MEDIUM_SEAM,36.209,4,4,4,,0.083,7.062,-0.681,0.856,42.0,6.0
84573,2.4.5,5,True,False,MEDIUM_SEAM,38.357,0,0,0,,-0.238,8.959,-0.349,0.915,38.0,41.0
84574,2.4.6,6,True,False,MEDIUM_SEAM,33.12,1,1,1,,0.266,8.93,0.175,0.81,65.0,22.0
84575,2.5.1,1,True,True,FAST_SEAM,31.53,0,0,0,,0.342,3.505,-0.181,0.526,39.0,42.0
84576,2.5.2,2,True,True,FAST_SEAM,30.251,0,0,0,,0.137,6.306,0.266,0.682,0.0,0.0
85965,2.1.3,3,True,True,MEDIUM_SEAM,38.73,0,0,0,,0.369,9.434,-0.079,1.146,47.0,38.0
85966,2.1.4,4,True,True,MEDIUM_SEAM,37.977,4,4,4,,0.156,7.381,0.074,0.789,87.0,68.0
85967,2.1.5,5,True,True,MEDIUM_SEAM,38.226,0,0,0,,0.497,9.665,-0.291,0.936,46.0,36.0
85968,2.1.6,6,True,True,MEDIUM_SEAM,38.701,4,4,4,,0.268,7.666,0.053,0.789,68.0,7.0
85981,2.4.1,1,True,True,SEAM,24.282,0,0,0,,0.514,1.74,-0.646,0.417,33.0,37.0
85982,2.4.2,2,True,True,SEAM,24.472,0,0,0,,0.551,5.062,-0.928,0.868,32.0,36.0
85983,2.4.3,3,True,True,SEAM,24.892,1,1,1,,0.482,2.237,-0.413,0.474,43.0,80.0
86626,2.1.4,4,True,False,SEAM,38.269,1,1,1,,0.22,7.828,-0.5,0.689,36.0,33.0
