,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
68712,4062,1.18.5,5,Jos Buttler,509,True,Parthiv Patel,44,Mohit Sharma,1107,False,SEAM,28.608,b Mohit Sharma,0,0,0,,-0.152,6.27,-0.003,0.679,0.0,0.0
69464,4065,2.10.2,2,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,39.484,,0,0,0,,-0.293,7.061,-0.193,0.865,47.0,36.0
69465,4065,2.10.3,3,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,39.303,,1,1,1,,-0.374,6.619,-0.342,0.629,72.0,76.0
69475,4065,2.12.1,1,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,38.809,,4,4,4,,-0.423,8.97,-0.277,1.015,8.0,25.0
69476,4065,2.12.2,2,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,39.807,,1,1,1,,-0.45,6.757,-0.381,0.638,16.0,50.0
69480,4065,2.12.6,6,Jos Buttler,509,True,Rohit Sharma,107,Andre Russell,177,True,FAST_SEAM,39.461,,1,1,1,,-0.391,12.157,-0.21,1.899,87.0,23.0
70709,4070,2.14.1,1,Jos Buttler,509,True,Rohit Sharma,107,Rajat Bhatia,92,True,SEAM,31.878,,1,0,0,Lb,-0.138,5.191,-0.104,0.452,60.0,28.0
70711,4070,2.14.3,3,Jos Buttler,509,True,Rohit Sharma,107,Rajat Bhatia,92,True,SEAM,24.829,,1,1,1,,-0.08,7.234,0.06,0.6,59.0,84.0
70713,4070,2.14.5,5,Jos Buttler,509,True,Rohit Sharma,107,Rajat Bhatia,92,True,SEAM,25.748,,1,1,1,,0.364,5.834,0.657,0.635,70.0,80.0
70716,4070,2.15.2,2,Jos Buttler,509,True,Rohit Sharma,107,Thisara Perera,215,True,MEDIUM_SEAM,36.8,,4,4,4,,-0.254,8.29,0.003,0.863,62.0,7.0
70717,4070,2.15.3,3,Jos Buttler,509,True,Rohit Sharma,107,Thisara Perera,215,True,MEDIUM_SEAM,30.753,,1,1,1,,-0.385,7.3,-0.427,0.898,37.0,80.0
70727,4070,2.17.1,1,Jos Buttler,509,True,Rohit Sharma,107,Scott Boland,1475,False,SEAM,33.259,,1,1,1,,-0.389,8.534,-0.025,0.961,23.0,36.0
70733,4070,2.17.7,6,Jos Buttler,509,True,Rohit Sharma,107,Scott Boland,1475,False,SEAM,37.692,,2,2,2,,-0.138,-3.363,-0.321,0.534,29.0,69.0
70735,4070,2.18.2,2,Jos Buttler,509,True,Rohit Sharma,107,Ashok Dinda,48,True,SEAM,37.157,,1,0,0,Lb,-0.236,12.649,0.366,1.798,39.0,23.0
70739,4070,2.18.6,6,Jos Buttler,509,True,Rohit Sharma,107,Ashok Dinda,48,True,SEAM,37.889,,4,4,4,,-0.083,-0.549,-0.103,0.118,17.0,76.0
72591,4078,2.4.5,5,Jos Buttler,509,True,Krunal Pandya,3183,Ashish Nehra,115,False,MEDIUM_SEAM,36.131,,2,2,2,,-0.027,4.468,-0.18,0.456,16.0,54.0
72592,4078,2.4.6,6,Jos Buttler,509,True,Krunal Pandya,3183,Ashish Nehra,115,False,MEDIUM_SEAM,37.914,c Naman Ojha b Ashish Nehra,0,0,0,,-0.153,7.264,-0.578,0.821,0.0,0.0
73613,4082,2.16.4,3,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,37.684,,1,1,1,,-0.448,2.803,-0.375,0.329,53.0,61.0
73616,4082,2.16.7,5,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,32.557,,4,4,4,,-0.723,10.333,-0.749,1.182,49.0,5.0
73617,4082,2.16.8,6,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,41.479,,2,2,2,,-0.449,5.802,-0.476,0.641,14.0,27.0
73621,4082,2.17.4,3,Jos Buttler,509,True,Kieron Pollard,210,Shane Watson,227,True,MEDIUM_SEAM,37.595,,1,1,1,,-0.243,8.205,-0.164,0.84,16.0,29.0
73626,4082,2.18.1,1,Jos Buttler,509,True,Kieron Pollard,210,Chris Jordan,1299,True,FAST_SEAM,36.356,,1,1,1,,-0.552,4.987,-0.382,0.545,78.0,72.0
73628,4082,2.18.3,3,Jos Buttler,509,True,Kieron Pollard,210,Chris Jordan,1299,True,FAST_SEAM,38.574,,1,1,1,,-0.099,0.428,-0.081,0.081,75.0,79.0
73630,4082,2.18.5,5,Jos Buttler,509,True,Kieron Pollard,210,Chris Jordan,1299,True,FAST_SEAM,37.148,,6,6,6,,-0.026,-2.022,-0.105,0.332,58.0,94.0
73631,4082,2.18.6,6,Jos Buttler,509,True,Kieron Pollard,210,Chris Jordan,1299,True,FAST_SEAM,38.423,,6,6,6,,0.081,4.319,0.4,0.548,90.0,63.0
